Date,SKU,Group,Units Pkg,Avg Price Pkg,Sales Pkg,Turnover per month,Avg Price Pkg binned,Sales Pkg binned,Low avg price,Medium avg price,High avg price
2018-10-01,SKU_01,A,13,5,697,3485,Low,Low,1,0,0
2018-10-01,SKU_03,B,7,6,139,834,Low,Low,1,0,0
2018-10-01,SKU_05,C,6,8,8,64,Low,Low,1,0,0
2018-10-01,SKU_53,C,6,8,90,720,Low,Low,1,0,0
2018-10-01,SKU_54,C,5,8,11,88,Low,Low,1,0,0
2018-10-01,SKU_07,D,6,9,2119,19071,Low,Medium,1,0,0
2018-10-01,SKU_59,D,6,7,165,1155,Low,Low,1,0,0
2018-10-01,SKU_08,D,7,8,1513,12104,Low,Medium,1,0,0
2018-10-01,SKU_60,D,8,7,163,1141,Low,Low,1,0,0
2018-10-01,SKU_09,D,7,7,433,3031,Low,Low,1,0,0
2018-10-01,SKU_10,D,6,7,447,3129,Low,Low,1,0,0
2018-10-01,SKU_11,D,7,7,205,1435,Low,Low,1,0,0
2018-10-01,SKU_12,D,5,9,735,6615,Low,Low,1,0,0
2018-10-01,SKU_13,D,8,8,269,2152,Low,Low,1,0,0
2018-10-01,SKU_14,D,5,7,603,4221,Low,Low,1,0,0
2018-10-01,SKU_15,D,5,7,205,1435,Low,Low,1,0,0
2018-10-01,SKU_16,D,4,7,437,3059,Low,Low,1,0,0
2018-10-01,SKU_70,B,6,6,124,744,Low,Low,1,0,0
